Timestamp,data_with_anomaly,Rain,anomaly
3/13/2023 19:00,2.918333333,0.0,0
3/13/2023 20:00,2.815,0.0,0
3/13/2023 21:00,2.833333333,0.0,0
3/13/2023 22:00,2.803333333,0.0,0
3/13/2023 23:00,2.75,0.0,0
3/14/2023 0:00,2.63,0.0,0
3/14/2023 1:00,2.595,0.0,0
3/14/2023 2:00,2.491666667,0.0,0
3/14/2023 3:00,2.18,0.0,0
3/14/2023 4:00,2.18,0.0,0
3/14/2023 5:00,2.19,0.0,0
3/14/2023 6:00,2.2675,0.0,0
3/14/2023 7:00,2.45,0.0,0
3/14/2023 8:00,2.545,0.0,0
3/14/2023 9:00,2.491666667,0.0,0
3/14/2023 10:00,2.502,0.0,0
3/14/2023 11:00,2.728333333,0.0,0
3/14/2023 12:00,2.96,0.0,0
3/14/2023 13:00,2.7,0.0,0
3/14/2023 14:00,2.72,0.0,0
3/14/2023 15:00,2.8,0.0,0
3/14/2023 16:00,2.876666667,0.0,0
3/14/2023 17:00,2.823333333,0.0,0
3/14/2023 18:00,3.043333333,0.0,0
3/14/2023 19:00,2.958333333,0.0,0
3/14/2023 20:00,3.09,0.0,0
3/14/2023 21:00,3.041666667,0.0,0
3/14/2023 22:00,3.033333333,0.0,0
3/14/2023 23:00,2.896666667,0.0,0
3/15/2023 0:00,2.731666667,0.0,0
3/15/2023 1:00,2.626666667,0.0,0
3/15/2023 2:00,2.636666667,0.0,0
3/15/2023 3:00,2.551666667,0.0,0
3/15/2023 4:00,2.46,0.0,0
3/15/2023 5:00,2.314,0.0,0
3/15/2023 6:00,2.503333333,0.0,0
3/15/2023 7:00,2.49,0.0,0
3/15/2023 8:00,2.576,0.0,0
3/15/2023 9:00,2.606666667,0.0,0
3/15/2023 10:00,2.698,0.0,0
3/15/2023 11:00,2.75,0.0,0
3/15/2023 12:00,2.926666667,0.0,0
3/15/2023 13:00,2.771666667,0.0,0
3/15/2023 14:00,2.875,0.0,0
3/15/2023 15:00,2.958333333,0.0,0
3/15/2023 16:00,2.76,0.0,0
3/15/2023 17:00,2.7,0.0,0
3/15/2023 18:00,3.001666667,0.0,0
3/15/2023 19:00,2.875,0.0,0
3/15/2023 20:00,3.021666667,0.0,0
3/15/2023 21:00,3.106666667,0.0,0
3/15/2023 22:00,2.971666667,0.0,0
3/15/2023 23:00,2.803333333,0.0,0
3/16/2023 0:00,2.666666667,0.0,0
3/16/2023 1:00,2.6,0.0,0
3/16/2023 2:00,2.49,0.0,0
3/16/2023 3:00,2.44,0.0,0
3/16/2023 4:00,2.45,0.0,0
3/16/2023 5:00,2.488,0.0,0
3/16/2023 6:00,2.616,0.0,0
3/16/2023 7:00,2.795,0.0,0
3/16/2023 8:00,2.69,0.0,0
3/16/2023 9:00,2.71,0.0,0
3/16/2023 10:00,2.616666667,0.0,0
3/16/2023 11:00,2.845,0.0,0
3/16/2023 12:00,2.5825,0.0,0
3/16/2023 13:00,2.783333333,0.0,0
3/16/2023 14:00,2.605,0.0,0
3/16/2023 15:00,2.928333333,0.0,0
3/16/2023 16:00,2.7975,0.0,0
3/16/2023 17:00,3.155,0.0,0
3/16/2023 18:00,2.846666667,0.0,0
3/16/2023 19:00,3.033333333,0.0,0
3/16/2023 20:00,3.031666667,0.0,0
3/16/2023 21:00,2.926666667,0.0,0
3/16/2023 22:00,3.031666667,0.02,0
3/16/2023 23:00,2.811666667,0.0,0
3/17/2023 0:00,2.688333333,0.0,0
3/17/2023 1:00,2.68,0.0,0
3/17/2023 2:00,3.096666667,0.24,0
